Date,Open,High,Low,Close,Adj Close,Volume
2018-08-06,14694.700195,14731.099609,14572.900391,14605.549805,14605.549805,0
2018-08-07,14660.099609,14688.099609,14588.549805,14613.750000,14613.750000,0
2018-08-08,14650.599609,14663.049805,14534.599609,14608.200195,14608.200195,0
2018-08-09,14660.549805,14662.450195,14588.950195,14603.349609,14603.349609,0
2018-08-10,14661.900391,14702.150391,14568.299805,14679.299805,14679.299805,0
2018-08-13,14697.700195,14902.400391,14683.000000,14880.250000,14880.250000,0
2018-08-14,14927.400391,15090.900391,14872.950195,15009.250000,15009.250000,0
2018-08-16,15021.950195,15122.650391,15017.250000,15044.349609,15044.349609,0
2018-08-17,15059.950195,15143.349609,14982.349609,15126.400391,15126.400391,0
2018-08-20,15033.650391,15054.099609,14946.549805,14996.099609,14996.099609,0
2018-08-21,15072.450195,15183.250000,15041.849609,15134.650391,15134.650391,0
2018-08-23,15195.000000,15361.400391,15185.250000,15321.950195,15321.950195,0
2018-08-24,15337.900391,15410.200195,15239.349609,15260.049805,15260.049805,0
2018-08-27,15285.099609,15539.650391,15274.349609,15514.950195,15514.950195,0
2018-08-28,15546.500000,15641.400391,15528.400391,15583.049805,15583.049805,0
2018-08-29,15617.000000,15621.900391,15439.450195,15524.950195,15524.950195,0
2018-08-30,15519.599609,15576.650391,15428.099609,15529.849609,15529.849609,0
2018-08-31,15575.950195,15833.650391,15567.500000,15811.400391,15811.400391,0
2018-09-03,16013.049805,16048.250000,15703.000000,15724.700195,15724.700195,0
2018-09-04,15799.349609,16094.049805,15783.549805,16048.700195,16048.700195,0
2018-09-05,16088.700195,16124.599609,15976.450195,16039.900391,16039.900391,0
2018-09-06,16047.950195,16121.500000,15932.650391,16081.650391,16081.650391,0
2018-09-07,16126.250000,16130.599609,15975.000000,16104.799805,16104.799805,0
2018-09-10,16150.650391,16229.849609,16085.500000,16105.299805,16105.299805,0
2018-09-11,16182.000000,16217.750000,15970.099609,15993.200195,15993.200195,0
2018-09-12,16092.099609,16124.549805,15977.849609,16054.049805,16054.049805,0
2018-09-14,16046.400391,16104.049805,15843.599609,16072.500000,16072.500000,0
2018-09-17,16096.400391,16207.500000,16080.750000,16119.799805,16119.799805,0
2018-09-18,16152.849609,16152.849609,16003.200195,16031.000000,16031.000000,0
2018-09-19,16092.650391,16115.150391,15982.049805,16063.950195,16063.950195,0
2018-09-21,16023.650391,16047.200195,15579.950195,15833.500000,15833.500000,0
2018-09-24,15862.400391,16235.049805,15820.650391,16175.299805,16175.299805,0
2018-09-25,16207.000000,16360.599609,16081.900391,16234.900391,16234.900391,0
2018-09-26,16285.750000,16292.299805,15877.900391,15932.450195,15932.450195,0
2018-09-27,15979.500000,16094.049805,15943.900391,16018.000000,16018.000000,0
2018-09-28,15932.099609,15972.000000,15734.950195,15838.049805,15838.049805,0
2018-10-01,15897.099609,16282.049805,15861.500000,16213.599609,16213.599609,0
2018-10-03,16208.750000,16278.000000,15874.250000,15909.799805,15909.799805,0
2018-10-04,15835.200195,15835.200195,15403.900391,15441.099609,15441.099609,0
2018-10-05,15416.900391,15710.000000,15265.650391,15591.650391,15591.650391,0
2018-10-08,15538.200195,15644.200195,15198.250000,15305.200195,15305.200195,0
2018-10-09,15305.150391,15429.950195,15137.750000,15369.799805,15369.799805,0
2018-10-10,15356.299805,15380.849609,15053.299805,15143.200195,15143.200195,0
2018-10-11,14721.099609,14890.650391,14554.250000,14683.000000,14683.000000,0
2018-10-12,14701.849609,14721.950195,14408.450195,14539.200195,14539.200195,0
2018-10-15,14639.500000,14846.950195,14564.299805,14797.200195,14797.200195,0
2018-10-16,14876.049805,14975.549805,14743.900391,14887.349609,14887.349609,0
2018-10-17,15031.049805,15190.650391,14903.500000,14949.599609,14949.599609,0
2018-10-19,14776.450195,14776.450195,14421.650391,14476.849609,14476.849609,0
2018-10-22,14527.549805,14527.549805,14299.150391,14421.450195,14421.450195,0
2018-10-23,14318.950195,14406.750000,13977.650391,14014.700195,14014.700195,0
2018-10-24,14125.500000,14183.549805,13826.299805,14049.150391,14049.150391,0
2018-10-25,13894.799805,14179.700195,13863.900391,14070.799805,14070.799805,0
2018-10-26,14057.049805,14070.049805,13769.849609,13798.599609,13798.599609,0
2018-10-29,13837.650391,14188.000000,13696.500000,14132.650391,14132.650391,0
2018-10-30,14088.250000,14437.599609,14028.799805,14355.849609,14355.849609,0
2018-10-31,14428.700195,14994.849609,14376.750000,14940.099609,14940.099609,0
2018-11-01,14991.599609,14991.599609,14541.200195,14622.000000,14622.000000,0
2018-11-02,14639.049805,14780.099609,14356.099609,14396.700195,14396.700195,0
2018-11-05,14377.500000,14534.049805,14345.250000,14471.750000,14471.750000,0
2018-11-06,14499.799805,14660.150391,14468.250000,14577.299805,14577.299805,0
2018-11-07,14654.250000,14698.950195,14645.049805,14674.450195,14674.450195,0
2018-11-09,14793.750000,14796.900391,14483.349609,14553.250000,14553.250000,0
2018-11-12,14604.950195,14821.549805,14565.049805,14650.500000,14650.500000,0
2018-11-13,14637.250000,14780.000000,14561.549805,14698.200195,14698.200195,0
2018-11-14,14662.299805,14662.799805,14236.700195,14338.500000,14338.500000,0
2018-11-15,14315.450195,14573.099609,14264.599609,14354.150391,14354.150391,0
2018-11-16,14426.700195,14504.500000,14356.650391,14473.150391,14473.150391,0
2018-11-19,14544.799805,14618.250000,14433.200195,14599.799805,14599.799805,0
2018-11-20,14575.250000,14575.250000,14262.299805,14285.099609,14285.099609,0
2018-11-21,14244.750000,14245.049805,13827.150391,13879.150391,13879.150391,0
2018-11-22,13955.000000,14109.450195,13819.700195,13835.700195,13835.700195,0
2018-11-26,13836.950195,14083.700195,13581.349609,14025.400391,14025.400391,0
2018-11-27,14057.900391,14265.250000,14000.400391,14225.349609,14225.349609,0
2018-11-28,14266.750000,14658.900391,14250.900391,14632.900391,14632.900391,0
2018-11-29,14726.750000,14732.650391,14433.049805,14465.299805,14465.299805,0
2018-11-30,14494.700195,14710.799805,14494.599609,14638.049805,14638.049805,0
2018-12-03,14728.450195,14790.799805,14630.750000,14740.400391,14740.400391,0
2018-12-04,14757.450195,15015.099609,14728.200195,14999.900391,14999.900391,0
2018-12-05,14932.450195,15062.400391,14788.750000,15012.950195,15012.950195,0
2018-12-06,14936.599609,15064.250000,14664.299805,14693.750000,14693.750000,0
2018-12-07,14686.799805,14700.049805,14461.950195,14662.900391,14662.900391,0
2018-12-10,14486.000000,14723.700195,14369.500000,14419.200195,14419.200195,0
2018-12-11,14385.349609,14684.450195,14307.299805,14579.599609,14579.599609,0
2018-12-12,14640.150391,14756.500000,14521.200195,14738.549805,14738.549805,0
2018-12-13,14782.349609,14908.900391,14652.000000,14841.000000,14841.000000,0
2018-12-14,14810.400391,14913.799805,14741.700195,14851.400391,14851.400391,0
2018-12-17,14931.049805,14931.049805,14801.150391,14873.049805,14873.049805,0
2018-12-18,14776.450195,14809.549805,14662.099609,14730.900391,14730.900391,0
