Date,Price,Open,High,Low,Change %
"May 14, 2019",7.378,7.388,7.388,7.348,-0.14%
"May 13, 2019",7.388,7.418,7.419,7.385,-0.34%
"May 10, 2019",7.413,7.407,7.426,7.403,0.22%
"May 09, 2019",7.397,7.387,7.4,7.371,0.30%
"May 08, 2019",7.375,7.392,7.392,7.37,-0.09%
"May 07, 2019",7.382,7.417,7.424,7.381,-0.16%
"May 06, 2019",7.394,7.403,7.403,7.365,-0.04%
"May 03, 2019",7.397,7.372,7.401,7.369,0.15%
"May 02, 2019",7.386,7.411,7.411,7.386,-0.38%
"Apr 30, 2019",7.414,7.395,7.421,7.387,0.08%
"Apr 26, 2019",7.408,7.436,7.446,7.405,-0.58%
"Apr 25, 2019",7.451,7.441,7.477,7.441,0.36%
"Apr 24, 2019",7.424,7.429,7.436,7.421,-0.66%
"Apr 23, 2019",7.473,7.489,7.495,7.46,-0.01%
"Apr 22, 2019",7.474,7.455,7.497,7.455,0.73%
"Apr 18, 2019",7.42,7.412,7.43,7.408,0.41%
"Apr 16, 2019",7.39,7.39,7.404,7.376,-0.03%
"Apr 15, 2019",7.392,7.411,7.414,7.387,-0.23%
"Apr 12, 2019",7.409,7.383,7.41,7.38,0.52%
"Apr 11, 2019",7.371,7.381,7.381,7.362,0.05%
"Apr 10, 2019",7.367,7.363,7.379,7.356,-0.09%
"Apr 09, 2019",7.374,7.411,7.418,7.373,-0.35%
"Apr 08, 2019",7.4,7.374,7.411,7.374,0.64%
"Apr 05, 2019",7.353,7.352,7.362,7.316,0.07%
"Apr 04, 2019",7.348,7.271,7.348,7.229,1.06%
"Apr 03, 2019",7.271,7.28,7.288,7.255,-0.01%
"Apr 02, 2019",7.272,7.356,7.356,7.271,-1.01%
"Mar 29, 2019",7.346,7.329,7.351,7.31,0.31%
"Mar 28, 2019",7.323,7.319,7.334,7.301,-0.05%
"Mar 27, 2019",7.327,7.344,7.357,7.323,-0.20%
"Mar 26, 2019",7.342,7.329,7.343,7.328,-1.73%
"Mar 25, 2019",7.471,7.471,7.474,7.456,-0.44%
"Mar 22, 2019",7.504,7.477,7.506,7.474,-0.17%
"Mar 20, 2019",7.517,7.535,7.544,7.513,-0.25%
"Mar 19, 2019",7.536,7.494,7.545,7.479,0.75%
