close_time,open,high,low,close,volume,quote_volume
2018-10-20,198.97,202.1,197.27,200.01,26754.48,5345336.5
2018-10-21,199.96,206.0,198.84,202.24,18293.0,3705922.2
2018-10-22,202.32,206.21,201.08,201.95,27510.3,5620589.0
2018-10-23,201.98,203.24,199.33,201.0,11463.573,2310822.8
2018-10-24,201.09,202.1,197.65,200.96,20098.309,4023812.2
2018-10-25,200.87,202.84,200.0,200.67,15650.832,3152236.5
2018-10-26,200.6,200.89,197.88,199.66,11922.848,2378709.2
2018-10-27,199.67,204.27,198.54,200.69,18949.87,3807458.8
2018-10-28,200.74,201.97,199.92,201.26,6425.654,1291297.8
2018-10-29,201.42,203.16,200.8,202.44,6449.184,1301562.1
2018-10-30,202.44,202.77,191.37,194.14,20088.393,3948128.2
2018-10-31,194.2,196.69,192.96,195.3,11510.63392576,2237612.7832613853
2018-11-01,195.3,199.16,191.65,196.68,14454.2433291,2821187.169499115
2018-11-02,196.7,198.56,195.96,197.73,7295.6960242,1435281.0631153628
2018-11-03,197.77,201.49,197.46,199.9,9539.34394669,1899876.845606933
2018-11-04,199.93,200.2,197.95,198.78,5369.4574044,1067120.6832380837
2018-11-05,198.34,217.21,197.61,210.28,27729.63617424,5789360.483458004
2018-11-06,210.47,212.0,205.04,208.81,18906.64396992,3939148.84674845
2018-11-07,208.58,219.07,206.96,218.24,36929.13717608,7877168.718486213
2018-11-08,218.55,222.98,215.29,216.6,31083.65184306,6808822.926961344
2018-11-09,216.4,218.15,209.27,210.14,22796.35850196,4857072.69906633
2018-11-10,210.1,212.27,206.01,208.05,13251.89967815,2772477.7346142614
2018-11-11,207.81,212.5,207.6,210.38,9033.52716751,1902409.2421055879
2018-11-12,210.62,211.2,206.11,210.03,5726.08599056,1195444.9407462436
2018-11-13,209.45,211.25,206.92,208.83,8445.99369059,1769090.321654025
2018-11-14,208.64,208.83,202.71,203.43,18466.62234967,3796101.131426665
2018-11-15,203.11,204.83,165.01,178.04,141671.86540677,25728416.64388483
2018-11-16,178.08,181.0,165.14,178.6,87090.26672245,15159151.044607602
2018-11-17,178.47,179.41,169.25,172.11,41057.32866178,7211517.724527534
2018-11-18,172.62,176.0,170.45,172.4,14302.71486817,2462724.975909001
2018-11-19,172.53,179.95,172.15,175.99,19080.4595402,3341732.123974003
2018-11-20,175.95,175.95,142.27,145.21,167456.00404113,26061430.53730347
2018-11-21,145.27,149.35,121.61,127.36,213244.50855619,28434784.032452658
2018-11-22,127.76,137.46,122.37,134.44,132529.03441636,17389370.696185336
2018-11-23,134.78,136.6,122.42,123.4,49385.80866674,6435129.947422819
2018-11-24,123.39,125.14,116.18,121.33,103946.27944055,12549526.109100366
